ORF	Gene
MAG09_4_24	Gene000315
MAG11_8_31	Gene000315
MAG48_7_16	Gene000315
MAG55_83_2	Gene000315
MAG61_3_6	Gene000315
MAG16_1_6	Gene000315
MAG14_22_5	Gene000315
MAG20_3_83	Gene000315
MAG34_348_3	Gene000315
MAG25_53_1	Gene000315
MAG30_1_119	Gene000315
MAG58_118_3	Gene000315
MAG36_56_3	Gene000315
MAG31_370_3	Gene000315
MAG42_4_19	Gene000315
MAG05_8_35	Gene000316
MAG05_8_37	Gene000317
MAG60_56_4	Gene000317
MAG41_126_12	Gene000317
MAG14_6_42	Gene000317
MAG52_111_6	Gene000317
MAG14_23_25	Gene000317
MAG56_10_35	Gene000317
MAG56_4_6	Gene000317
MAG56_10_61	Gene000317
MAG42_185_7	Gene000317
MAG56_38_31	Gene000317
MAG20_21_14	Gene000317
MAG14_43_11	Gene000317
MAG42_557_1	Gene000317
MAG05_8_41	Gene000318
MAG56_19_43	Gene000318
MAG42_546_2	Gene000318
MAG41_126_8	Gene000318
MAG51_388_2	Gene000318
MAG52_111_10	Gene000318
MAG60_19_18	Gene000318
MAG62_50_22	Gene000318
MAG51_55_14	Gene000318
MAG14_93_4	Gene000318
MAG20_5_27	Gene000318
MAG29_32_38	Gene000318
MAG05_8_43	Gene000319
MAG14_18_75	Gene000319
MAG41_126_6	Gene000319
MAG52_141_2	Gene000319
MAG62_50_20	Gene000319
MAG60_19_20	Gene000319
MAG05_8_44	Gene000320
MAG14_18_74	Gene000320
MAG20_5_33	Gene000320
MAG41_126_5	Gene000320
MAG51_55_12	Gene000320
MAG52_141_3	Gene000320
MAG60_19_21	Gene000320
MAG29_32_41	Gene000320
MAG62_50_19	Gene000320
MAG57_443_3	Gene000320
MAG25_68_6	Gene000320
MAG05_8_46	Gene000321
MAG14_18_72	Gene000321
MAG41_126_3	Gene000321
MAG52_141_5	Gene000321
MAG60_19_23	Gene000321
MAG51_55_10	Gene000321
MAG20_5_35	Gene000321
MAG25_68_4	Gene000321
MAG29_32_44	Gene000321
MAG56_19_38	Gene000321
MAG66_392_3	Gene000321
MAG62_50_17	Gene000321
MAG57_591_1	Gene000321
MAG05_8_50	Gene000322
MAG29_15_3	Gene000322
MAG14_18_68	Gene000322
MAG20_5_39	Gene000322
MAG41_25_2	Gene000322
MAG42_108_4	Gene000322
MAG51_55_6	Gene000322
MAG52_125_3	Gene000322
MAG56_19_33	Gene000322
MAG57_117_5	Gene000322
MAG57_456_2	Gene000322
MAG60_19_27	Gene000322
MAG62_50_13	Gene000322
MAG05_8_53	Gene000323
MAG41_25_5	Gene000323
MAG42_108_7	Gene000323
MAG52_125_6	Gene000323
MAG60_19_30	Gene000323
MAG14_18_65	Gene000323
MAG20_5_42	Gene000323
MAG29_15_6	Gene000323
MAG51_55_3	Gene000323
MAG56_19_30	Gene000323
MAG62_50_10	Gene000323
MAG66_17_8	Gene000323
MAG57_117_8	Gene000323
MAG45_408_1	Gene000323
MAG05_8_56	Gene000324
MAG41_25_8	Gene000324
MAG42_299_2	Gene000324
MAG52_125_9	Gene000324
MAG60_19_33	Gene000324
MAG51_312_2	Gene000324
MAG05_8_58	Gene000325
MAG14_18_60	Gene000325
MAG20_5_47	Gene000325
MAG41_25_10	Gene000325
MAG42_299_4	Gene000325
MAG51_312_4	Gene000325
MAG52_113_3	Gene000325
MAG60_19_35	Gene000325
MAG62_50_5	Gene000325
MAG05_8_62	Gene000326
MAG41_25_14	Gene000326
MAG60_19_39	Gene000326
MAG05_8_69	Gene000327
MAG42_42_6	Gene000327
MAG56_101_8	Gene000327
MAG05_8_73	Gene000328
MAG41_25_24	Gene000328
MAG52_66_18	Gene000328
MAG60_17_6	Gene000328
MAG05_8_82	Gene000329
MAG60_88_8	Gene000329
MAG41_25_33	Gene000329
MAG51_337_2	Gene000329
MAG52_66_9	Gene000329
MAG14_13_89	Gene000329
MAG20_56_11	Gene000329
MAG05_8_85	Gene000330
MAG41_25_36	Gene000330
MAG60_88_6	Gene000330
MAG42_332_3	Gene000330
MAG52_66_6	Gene000330
MAG05_8_87	Gene000331
MAG60_88_4	Gene000331
MAG05_8_88	Gene000332
MAG05_8_89	Gene000333
MAG05_8_90	Gene000334
MAG05_8_91	Gene000335
MAG05_8_95	Gene000336
MAG05_8_97	Gene000337
MAG05_8_99	Gene000338
MAG51_228_5	Gene000338
MAG05_8_100	Gene000339
MAG05_8_101	Gene000340
MAG14_13_95	Gene000340
MAG20_56_6	Gene000340
MAG29_46_5	Gene000340
MAG42_35_4	Gene000340
MAG52_156_3	Gene000340
MAG56_3_53	Gene000340
MAG60_19_10	Gene000340
MAG62_3_51	Gene000340
MAG66_146_2	Gene000340
MAG57_106_1	Gene000340
MAG45_301_1	Gene000340
MAG05_8_102	Gene000341
MAG05_8_103	Gene000342
MAG05_8_105	Gene000343
MAG05_8_109	Gene000344
MAG14_21_65	Gene000344
MAG25_34_5	Gene000344
MAG29_34_12	Gene000344
MAG41_99_2	Gene000344
MAG51_94_11	Gene000344
MAG52_105_6	Gene000344
MAG56_7_28	Gene000344
MAG57_18_6	Gene000344
MAG60_19_15	Gene000344
MAG62_3_42	Gene000344
MAG66_416_2	Gene000344
MAG40_1_27	Gene000344
MAG08_6_14	Gene000344
MAG15_18_34	Gene000344
MAG05_8_118	Gene000345
MAG60_127_4	Gene000345
MAG41_99_11	Gene000345
MAG52_86_14	Gene000345
MAG56_35_31	Gene000345
MAG20_21_36	Gene000345
MAG51_7_28	Gene000345
MAG25_453_2	Gene000345
MAG14_5_83	Gene000345
MAG62_63_14	Gene000345
MAG29_15_24	Gene000345
MAG66_141_3	Gene000345
MAG05_8_123	Gene000346
MAG05_9_2	Gene000347
MAG05_9_3	Gene000348
MAG05_9_4	Gene000349
MAG05_9_7	Gene000350
MAG05_9_8	Gene000351
MAG05_9_10	Gene000352
MAG05_9_11	Gene000353
MAG31_3_12	Gene000353
MAG05_38_4	Gene000353
MAG05_28_52	Gene000354
MAG05_29_2	Gene000355
MAG21_502_2	Gene000355
MAG05_29_4	Gene000356
MAG05_29_6	Gene000357
MAG57_14_31	Gene000357
MAG60_59_1	Gene000357
MAG05_29_9	Gene000358
MAG05_29_11	Gene000359
MAG05_29_13	Gene000360
MAG05_29_15	Gene000361
MAG14_109_2	Gene000361
MAG42_182_6	Gene000361
MAG51_120_3	Gene000361
MAG52_6_23	Gene000361
MAG60_32_25	Gene000361
MAG20_11_23	Gene000361
MAG05_29_16	Gene000362
MAG05_29_17	Gene000363
MAG05_29_18	Gene000364
MAG05_29_19	Gene000365
MAG05_29_20	Gene000366
MAG52_51_16	Gene000366
MAG42_51_9	Gene000366
MAG20_1_198	Gene000366
MAG60_155_1	Gene000366
MAG41_128_2	Gene000366
MAG05_29_22	Gene000367
MAG20_1_200	Gene000367
MAG41_128_4	Gene000367
MAG52_51_14	Gene000367
MAG42_51_11	Gene000367
MAG14_4_30	Gene000367
MAG05_29_23	Gene000368
MAG20_1_201	Gene000368
MAG52_51_13	Gene000368
MAG42_841_2	Gene000368
MAG05_29_25	Gene000369
MAG52_51_11	Gene000369
MAG42_316_1	Gene000369
MAG05_29_26	Gene000370
MAG41_128_6	Gene000370
MAG52_51_10	Gene000370
MAG42_224_1	Gene000370
MAG05_29_30	Gene000371
MAG05_29_32	Gene000372
MAG05_29_33	Gene000373
MAG05_29_34	Gene000374
MAG05_29_35	Gene000375
MAG05_29_36	Gene000376
MAG05_29_37	Gene000377
MAG05_29_38	Gene000378
MAG05_29_39	Gene000379
MAG60_65_2	Gene000379
MAG42_178_9	Gene000379
MAG05_25_40	Gene000379
MAG41_23_14	Gene000379
MAG14_2_7	Gene000379
MAG42_121_4	Gene000379
MAG05_29_40	Gene000380
MAG05_29_42	Gene000381
MAG05_29_43	Gene000382
MAG05_29_44	Gene000383
MAG05_30_10	Gene000384
MAG41_40_26	Gene000384
MAG42_155_7	Gene000384
MAG52_9_69	Gene000384
MAG60_111_11	Gene000384
MAG05_30_13	Gene000385
MAG41_40_22	Gene000385
MAG60_100_7	Gene000385
MAG05_30_14	Gene000386
MAG05_30_15	Gene000387
MAG05_30_16	Gene000388
MAG52_9_60	Gene000388
MAG41_24_15	Gene000388
MAG60_2_60	Gene000388
MAG05_30_18	Gene000389
MAG52_64_21	Gene000389
MAG42_93_2	Gene000389
MAG41_24_13	Gene000389
MAG05_30_20	Gene000390
MAG41_24_11	Gene000390
MAG42_709_2	Gene000390
MAG52_153_6	Gene000390
MAG60_46_4	Gene000390
MAG05_30_23	Gene000391
MAG41_24_8	Gene000391
MAG52_80_10	Gene000391
MAG60_28_22	Gene000391
MAG42_113_3	Gene000391
MAG51_11_20	Gene000391
MAG14_34_6	Gene000391
MAG20_10_66	Gene000391
MAG62_22_24	Gene000391
MAG56_31_33	Gene000391
MAG57_78_4	Gene000391
MAG51_224_4	Gene000391
MAG05_30_26	Gene000392
MAG41_24_5	Gene000392
MAG42_32_3	Gene000392
MAG52_80_13	Gene000392
MAG60_28_19	Gene000392
MAG56_271_1	Gene000392
MAG05_30_27	Gene000393
MAG52_60_23	Gene000393
MAG60_28_18	Gene000393
MAG41_24_4	Gene000393
MAG05_30_30	Gene000394
MAG29_14_26	Gene000394
MAG52_60_20	Gene000394
MAG56_5_78	Gene000394
MAG57_33_17	Gene000394
MAG60_28_15	Gene000394
MAG66_430_1	Gene000394
MAG14_29_6	Gene000394
MAG20_10_8	Gene000394
MAG51_16_10	Gene000394
MAG62_32_24	Gene000394
MAG25_18_1	Gene000394
MAG05_30_32	Gene000395
MAG05_30_35	Gene000396
MAG52_15_29	Gene000396
MAG41_241_2	Gene000396
MAG05_30_37	Gene000397
MAG05_30_38	Gene000398
MAG05_30_39	Gene000399
MAG05_30_40	Gene000400
MAG05_30_43	Gene000401
MAG05_30_44	Gene000402
MAG05_30_45	Gene000403
MAG05_30_46	Gene000404
MAG05_31_1	Gene000405
MAG41_33_31	Gene000405
MAG05_31_2	Gene000406
MAG05_31_3	Gene000407
MAG41_33_29	Gene000407
MAG60_48_6	Gene000407
MAG42_650_1	Gene000407
MAG05_31_5	Gene000408
MAG41_33_27	Gene000408
MAG06_4_117	Gene000409
MAG06_4_118	Gene000410
MAG06_4_119	Gene000411
MAG06_4_120	Gene000412
MAG06_5_1	Gene000413
MAG06_5_2	Gene000414
MAG06_5_3	Gene000415
MAG06_5_4	Gene000416
MAG06_5_5	Gene000417
MAG06_5_6	Gene000418
MAG06_5_7	Gene000419
MAG06_5_8	Gene000420
MAG06_5_10	Gene000421
MAG06_5_11	Gene000422
MAG06_5_12	Gene000423
MAG06_5_13	Gene000424
MAG06_5_14	Gene000425
MAG06_5_15	Gene000426
MAG06_5_16	Gene000427
MAG06_5_17	Gene000428
MAG06_5_18	Gene000429
MAG06_5_20	Gene000430
MAG06_5_21	Gene000431
MAG06_5_22	Gene000432
MAG06_5_23	Gene000433
MAG06_5_24	Gene000434
MAG06_5_25	Gene000435
MAG06_5_26	Gene000436
MAG06_5_27	Gene000437
MAG06_5_28	Gene000438
MAG06_5_29	Gene000439
MAG06_5_30	Gene000440
MAG06_5_31	Gene000441
MAG06_5_32	Gene000442
MAG06_5_33	Gene000443
MAG06_5_34	Gene000444
MAG06_5_35	Gene000445
MAG06_5_36	Gene000446
MAG06_5_38	Gene000447
MAG06_5_37	Gene000447
MAG06_5_40	Gene000448
MAG06_5_41	Gene000449
MAG06_5_42	Gene000450
MAG06_5_43	Gene000451
MAG06_5_44	Gene000452
MAG06_5_45	Gene000453
MAG06_5_46	Gene000454
MAG06_5_47	Gene000455
MAG06_5_48	Gene000456
MAG06_5_50	Gene000457
MAG06_5_51	Gene000458
MAG06_5_52	Gene000459
MAG06_5_53	Gene000460
MAG06_5_54	Gene000461
MAG06_5_55	Gene000462
MAG06_5_56	Gene000463
MAG06_5_57	Gene000464
MAG06_5_58	Gene000465
MAG06_5_59	Gene000466
MAG06_5_60	Gene000467
MAG06_5_61	Gene000468
MAG06_5_62	Gene000469
MAG06_5_63	Gene000470
MAG06_5_64	Gene000471
MAG06_5_66	Gene000472
MAG06_5_67	Gene000473
MAG06_5_68	Gene000474
MAG06_5_69	Gene000475
MAG06_5_70	Gene000476
MAG06_5_71	Gene000477
MAG06_5_72	Gene000478
MAG06_5_73	Gene000479
